"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Clare","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Cork","Rate","1"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Cavan","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Carlow","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Donegal","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Dublin","Rate","1"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Galway","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Kildare","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Kilkenny","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Kerry","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Longford","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Louth","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Limerick","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Leitrim","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Laois","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Meath","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Monaghan","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Mayo","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Offaly","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Roscommon","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Sligo","Rate","0"
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Tipperary","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Waterford","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Wicklow","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Co. Wexford","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Correction of squint","Ireland plus non-residents","Rate","1"
"Average Length of Stay","2020","Both sexes","Correction of squint","Ireland","Rate","1"
"Average Length of Stay","2020","Both sexes","Procedures on ear & mastoid process","Co. Clare","Rate","3.09"
